user,status,count
vq949qfo,PD,65
ml796thu,PD,53
ms558xza,PD,29
ip225hfa,PD,4
cm308wco,PD,2
software,PD,1
kb833sze,PD,1
bf326lbe,PD,1
pl788pwi,PD,1
as612gri,PD,1
di328kep,R,108
ms558xza,R,50
vq949qfo,R,47
kb833sze,R,14
ti206dap,R,6
be691det,R,6
cm308wco,R,4
aw310vdu,R,4
ml796thu,R,3
lx684qru,R,3
pz192nij,R,3
ky317kcu,R,2
software,R,1
my626rxe,R,1
mu152xup,R,1
ie870xet,R,1
gi262rdy,R,1
jp336gja,R,1
je188blo,R,1
ju965qji,R,1
su832kyv,R,1
az091jwo,R,1
lu548pac,R,1
lj746mpo,R,1
hq634gij,R,1
